Title,Author,Publisher,Publication Year,ISBN
Generic Book Title,John Smith,Publisher Name,2001,5611837176
"The comma book, part 1",Daarken,Publisher Name,2002,5831859276
My Book,J.R.R. Tolkien,Publisher Name,2010,8977124349
Creative Book Title,J. K. Rowling,Publisher Name,2000,4452265341
Creative Book Title,Toby,Publisher Name,1976,9872755794
Creative Book Title,Ronald,Publisher Name,2020,6942869235
Creative Book Title,Mike,Publisher Name,2005,2087878527
Creative Book Title,Richard,Publisher Name,2001,1730778534
Creative Book Title,Autumn,Publisher Name,1942,5307179895
Creative Book Title,Morgan,Publisher Name,1954,2564419203
Creative Book Title,Christy,Publisher Name,1984,9753998967
Creative Book Title,Michael,Publisher Name,2011,8685598014
Creative Book Title,Johnny,Publisher Name,2019,6315476562
Creative Book Title,Avery,Publisher Name,2016,3330820260
